iter	Passed	Remaining
406	6010	6763
407	6025	6749
408	6040	6734
409	6054	6718
410	6066	6701
411	6080	6685
412	6094	6670
413	6108	6654
414	6121	6638
415	6136	6623
416	6151	6608
417	6166	6593
418	6180	6578
419	6197	6565
420	6218	6557
421	6235	6545
422	6253	6534
423	6270	6521
424	6293	6515
425	6313	6506
426	6331	6494
427	6348	6481
428	6365	6469
429	6382	6457
430	6400	6444
431	6414	6429
432	6430	6415
433	6447	6402
434	6460	6386
435	6474	6370
436	6487	6354
437	6502	6338
438	6515	6322
439	6528	6306
440	6540	6288
441	6554	6272
442	6566	6255
443	6578	6237
444	6591	6221
445	6604	6204
446	6621	6191
447	6633	6174
448	6645	6157
449	6658	6140
450	6672	6124
451	6686	6109
452	6699	6092
453	6712	6076
454	6724	6059
455	6738	6044
456	6751	6027
457	6764	6011
458	6777	5995
459	6791	5979
460	6803	5962
461	6816	5946
462	6828	5929
463	6841	5912
464	6856	5897
465	6870	5882
466	6884	5867
467	6897	5851
468	6911	5835
469	6923	5818
470	6936	5802
471	6950	5786
472	6962	5769
473	6975	5754
474	6990	5739
475	7003	5723
476	7016	5707
477	7030	5691
478	7047	5679
479	7066	5667
480	7081	5653
481	7097	5639
482	7115	5627
483	7131	5614
484	7149	5601
485	7166	5588
486	7183	5575
487	7201	5563
488	7217	5549
489	7233	5535
490	7249	5521
491	7264	5507
492	7280	5493
493	7293	5477
494	7308	5462
495	7322	5447
496	7336	5432
497	7348	5415
498	7362	5400
499	7376	5384
500	7390	5369
501	7406	5355
502	7421	5340
503	7438	5327
504	7453	5313
505	7471	5300
506	7487	5287
507	7505	5274
508	7523	5262
509	7541	5249
510	7558	5235
511	7573	5221
512	7588	5206
513	7600	5190
514	7614	5174
515	7628	5159
516	7641	5143
517	7654	5127
518	7666	5110
519	7679	5094
520	7693	5079
521	7707	5064
522	7719	5047
523	7733	5032
524	7747	5017
525	7760	5001
526	7774	4986
527	7787	4970
528	7801	4955
529	7815	4940
530	7827	4923
531	7840	4907
532	7854	4892
533	7868	4877
534	7880	4861
535	7895	4846
536	7909	4831
537	7923	4815
538	7935	4799
539	7946	4782
540	7960	4767
541	7972	4751
542	7985	4735
543	7998	4719
544	8012	4704
545	8027	4689
546	8040	4674
547	8054	4659
548	8068	4644
549	8083	4629
550	8097	4614
551	8111	4599
552	8125	4584
553	8138	4568
554	8152	4553
555	8167	4538
556	8181	4523
557	8193	4508
558	8207	4493
559	8222	4478
560	8234	4462
561	8249	4447
562	8263	4432
563	8278	4418
564	8293	4403
565	8307	4388
566	8322	4373
567	8333	4357
568	8347	4342
569	8360	4327
570	8374	4311
571	8387	4296
572	8400	4281
573	8415	4266
574	8428	4250
575	8443	4236
576	8457	4221
577	8470	4205
578	8484	4190
579	8498	4175
580	8512	4160
581	8525	4145
582	8538	4129
583	8551	4114
584	8565	4099
585	8578	4084
586	8592	4069
587	8605	4053
588	8617	4037
589	8629	4022
590	8642	4007
591	8656	3992
592	8670	3976
593	8683	3961
594	8697	3946
595	8711	3931
596	8724	3916
597	8737	3901
598	8750	3885
599	8763	3870
600	8777	3855
601	8791	3840
602	8804	3825
603	8816	3809
604	8828	3794
605	8840	3778
606	8854	3763
607	8867	3748
608	8881	3733
609	8895	3718
610	8908	3703
611	8921	3688
612	8935	3673
613	8948	3658
614	8962	3643
615	8976	3628
616	8988	3613
617	9000	3597
618	9013	3582
619	9026	3566
620	9041	3552
621	9054	3537
622	9069	3522
623	9081	3507
624	9096	3493
625	9110	3478
626	9124	3463
627	9137	3448
628	9151	3433
629	9165	3418
630	9179	3403
631	9192	3389
632	9206	3374
633	9219	3359
634	9232	3344
635	9246	3329
636	9260	3314
637	9273	3299
638	9286	3284
639	9300	3269
640	9313	3254
641	9326	3239
642	9339	3224
643	9352	3209
644	9365	3194
645	9379	3179
646	9391	3164
647	9405	3149
648	9418	3134
649	9430	3119
650	9445	3104
651	9458	3090
652	9472	3075
653	9484	3060
654	9498	3045
655	9513	3030
656	9525	3015
657	9539	3001
658	9553	2986
659	9566	2971
660	9578	2956
661	9591	2941
662	9604	2926
663	9617	2911
664	9629	2896
665	9642	2881
666	9656	2866
667	9669	2851
668	9683	2837
669	9698	2822
670	9713	2808
671	9725	2793
672	9739	2778
673	9752	2763
674	9765	2748
675	9779	2734
676	9791	2719
677	9804	2704
678	9817	2689
679	9830	2674
