iter	RMSE
0	24.44752558
1	23.09811815
2	22.02677205
3	21.15934088
4	20.4488705
5	19.85823915
6	19.41402582
7	19.05324322
8	18.69503998
9	18.41746947
10	18.20646113
11	17.99883909
12	17.82448151
13	17.6841326
14	17.56183024
15	17.4081265
16	17.23513304
17	17.16236658
18	17.10143282
19	17.05587266
20	17.00862163
21	16.86271256
22	16.82796342
23	16.71703436
24	16.59940066
25	16.5694189
26	16.53631636
27	16.50248466
28	16.47678025
29	16.44800103
30	16.42610559
31	16.36627452
32	16.34320828
33	16.32484432
34	16.30152081
35	16.28429274
36	16.19909079
37	16.17834036
38	16.15159249
39	16.10573448
40	16.09008649
41	16.02548441
42	16.01685253
43	15.97836953
44	15.96413641
45	15.9503286
46	15.93645939
47	15.92274518
48	15.88771424
49	15.84009717
50	15.831264
51	15.79820907
52	15.78602994
53	15.7750003
54	15.73836624
55	15.72335674
56	15.71299362
57	15.70246072
58	15.68458506
59	15.66986332
60	15.65852204
61	15.65249779
62	15.633459
63	15.60800124
64	15.59793677
65	15.57388366
66	15.56381904
67	15.55251865
68	15.54157891
69	15.52671194
70	15.50739504
71	15.49474084
72	15.48645674
73	15.4816538
74	15.46271074
75	15.43537578
76	15.41272648
77	15.40135769
78	15.39373561
79	15.38752379
80	15.37061112
81	15.36019971
82	15.34996742
83	15.33745617
84	15.32849607
85	15.31927563
86	15.30923706
87	15.30519162
88	15.29425979
89	15.28474061
90	15.27748731
91	15.26098237
92	15.25488694
93	15.24918978
94	15.24422921
95	15.23689119
96	15.22456645
97	15.21443456
98	15.20429269
99	15.19749825
100	15.18596423
101	15.18175232
102	15.17466391
103	15.16995616
104	15.15343242
105	15.14939987
106	15.12656193
107	15.11605457
108	15.10883685
109	15.10058245
110	15.09373863
111	15.08077432
112	15.0689131
113	15.05533523
114	15.04000686
115	15.02717314
116	15.01530987
117	15.00045564
118	14.98958776
119	14.97311325
120	14.96871249
121	14.95896968
122	14.95570543
123	14.94496175
124	14.93172691
125	14.92793196
126	14.91647134
127	14.90875565
128	14.90127396
129	14.89316287
130	14.89008568
131	14.87035055
132	14.85586282
133	14.85174783
134	14.84571536
135	14.83419015
136	14.82201072
137	14.81650784
138	14.81075863
139	14.80091652
140	14.79138965
141	14.78178336
142	14.77308976
143	14.76417771
144	14.758684
145	14.74651744
146	14.73518912
147	14.72615281
148	14.72138248
149	14.71081102
150	14.70048223
151	14.68882186
152	14.68056227
153	14.67519773
154	14.66068508
155	14.65622882
156	14.64939934
157	14.64097687
158	14.63503796
159	14.62828836
160	14.61988597
161	14.61507018
162	14.6101858
163	14.59610139
164	14.5860858
165	14.57947055
166	14.56931427
167	14.56584724
168	14.55893396
169	14.55037027
170	14.53884431
171	14.52957158
172	14.52411481
173	14.51750733
174	14.50731858
175	14.49740765
176	14.49398017
177	14.48577115
178	14.47687616
179	14.4715349
180	14.46768996
181	14.45877235
182	14.4498805
183	14.44229387
184	14.43892509
185	14.43145165
186	14.42539075
187	14.41988233
188	14.41455196
189	14.40668862
190	14.40233142
191	14.3925355
192	14.38963864
193	14.38296302
194	14.38025177
195	14.37256623
196	14.36949177
197	14.36622625
198	14.35953918
199	14.35644692
200	14.34868805
201	14.34443665
202	14.33799931
203	14.3309791
204	14.32423011
205	14.32079042
206	14.31019205
207	14.30321844
208	14.29836287
209	14.29079477
210	14.287807
211	14.27823413
212	14.27459114
213	14.26753179
214	14.26203815
215	14.2538979
216	14.24696609
217	14.2396258
218	14.2336118
219	14.22759884
220	14.22181427
221	14.21681198
222	14.21207158
223	14.20368305
224	14.19282827
225	14.18648379
226	14.18241483
227	14.17730544
228	14.1690738
229	14.16376465
230	14.16083692
231	14.15609777
232	14.1453724
233	14.13738644
234	14.12926933
235	14.12591879
236	14.11677049
237	14.11167897
238	14.10783807
239	14.09920444
240	14.09201021
241	14.08736219
242	14.08334347
243	14.08111041
244	14.07210545
245	14.06634799
246	14.06268205
247	14.05990502
248	14.05600267
249	14.05083782
250	14.04520396
251	14.03680457
252	14.03421225
253	14.02844418
254	14.02324089
255	14.02052629
256	14.01587179
257	14.00837328
258	14.00204809
259	13.99448471
260	13.98996326
261	13.98441795
262	13.97698205
263	13.97371804
264	13.96706705
265	13.96222109
266	13.95821891
267	13.9520942
268	13.94512025
269	13.94094444
270	13.93699523
271	13.93456572
272	13.9253809
273	13.91366356
274	13.90837621
275	13.90074932
276	13.89733114
277	13.89251093
278	13.88674452
279	13.8805322
280	13.87703671
281	13.87246497
282	13.86633225
283	13.85597047
284	13.84659929
285	13.84205986
286	13.83603077
287	13.83172325
288	13.82722806
289	13.82054587
290	13.81050995
291	13.80837965
292	13.80411825
293	13.79822091
294	13.79318132
295	13.78772342
296	13.7830036
297	13.77801047
298	13.77386218
299	13.76893043
300	13.76227884
301	13.75869541
302	13.75590078
303	13.75183591
304	13.74787409
305	13.74245574
306	13.73851696
307	13.73473762
308	13.73073205
309	13.7254387
310	13.72131263
311	13.7150608
312	13.7080288
313	13.69977225
314	13.69222294
