DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1261.567,4151.9478,4151947.75,nan,10.5173,10.5173,157.1436,0.0,nan,46.5018,1.0906,1.0728,1.427,1261.567,0.6839,nan,nan,0.009,0.01,13621.876,2.1406,1.0906,1.1895,14.6516,1.0,1.0,-1189.9769,90.09,0.009,nan
1261.6764,4119.3286,4124616.5,nan,10.6528,10.6528,157.1419,0.0,nan,47.7793,1.099,1.0602,1.3238,1261.6764,0.6629,nan,nan,0.009,0.01,13532.2061,2.1237,1.099,1.2078,14.509,1.0,1.0,-1190.0864,90.09,0.009,nan
1261.7194,4113.8735,4113873.75,nan,10.6732,10.6732,157.1412,0.0,nan,48.1367,1.1032,1.0609,1.3084,1261.7194,0.6561,nan,nan,0.009,0.01,13496.9609,2.1209,1.1032,1.2172,14.4168,1.0,1.0,-1190.1294,90.0832,0.009,nan
1261.8288,4174.5962,4178825.5,nan,10.7252,10.7252,154.3313,0.0,nan,49.0462,1.114,1.0626,1.2691,1261.8287,0.639,nan,nan,0.009,0.01,13710.0576,2.1137,1.114,1.241,14.1823,1.0,1.0,-1190.2388,90.066,0.009,nan
1261.8718,4204.355,4204355.0,nan,10.7219,10.7219,153.2269,0.0,nan,49.1842,1.1204,1.0698,1.2757,1261.8717,0.6344,nan,nan,0.0092,0.01,13793.8154,2.1136,1.1204,1.2555,14.0386,1.0,1.0,-1190.2817,89.915,0.0092,nan
1261.9812,4321.0566,4328476.5,nan,10.7133,10.7133,149.0587,0.0,nan,49.5354,1.1369,1.088,1.2926,1261.9812,0.6227,nan,nan,0.0095,0.01,14201.0371,2.1132,1.1369,1.2925,13.6731,1.0,1.0,-1190.3912,89.531,0.0095,nan
1262.0242,4377.2622,4377262.5,nan,10.6943,10.6943,147.4204,0.0,nan,49.7823,1.1475,1.1029,1.31,1262.0242,0.619,nan,nan,0.01,0.0104,14361.0967,2.1171,1.1475,1.317,13.4994,1.0,1.0,-1190.4342,88.9921,0.01,nan
1262.1336,4560.4785,4572773.5,nan,10.6461,10.6461,142.1709,0.0,nan,50.4104,1.1745,1.1408,1.3541,1262.1335,0.6094,nan,nan,0.0113,0.0113,15002.5381,2.1272,1.1745,1.3795,13.0575,1.0,1.0,-1190.5436,87.621,0.0113,nan
1262.1766,4649.6201,4649620.0,nan,10.6005,10.6005,140.1076,0.0,nan,50.5677,1.1909,1.1644,1.3907,1262.1765,0.6053,nan,nan,0.0121,0.0121,15254.6592,2.1373,1.1909,1.4189,12.8259,1.0,1.0,-1190.5865,86.7204,0.0121,nan
1262.286,4901.522,4913828.0,nan,10.4844,10.4844,134.5057,0.0,nan,50.968,1.2326,1.2244,1.4838,1262.286,0.5947,nan,nan,0.0142,0.0142,16121.4834,2.163,1.2326,1.5193,12.2367,1.0,1.0,-1190.696,84.429,0.0142,nan
