DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PHIT,PIGE,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1261.3716,5184.8149,5180896.0,nan,9.3059,9.3059,138.5023,0.0,nan,37.484,0.735,0.7258,1.0299,1261.3716,0.5573,-571.1039,nan,nan,0.3173,0.0308,0.0308,0.0308,16997.6895,2.356,0.7351,0.735,0.5402,34.8473,1.0,1.0,1.0,-1183.6716,88.106,0.0308,nan
1261.4152,5181.9023,5181902.5,nan,9.2912,9.2912,138.496,0.0,nan,37.1253,0.7497,0.7465,1.0639,1261.4152,0.561,-571.1249,nan,nan,0.3167,0.0308,0.0308,0.0308,17000.9922,2.3546,0.7498,0.7497,0.5625,34.7689,1.0,1.0,1.0,-1183.7152,88.106,0.0308,nan
1261.524,5160.1885,5159316.0,nan,9.2548,9.2548,138.868,0.0,nan,36.2304,0.7863,0.798,1.1488,1261.524,0.5704,-571.1774,nan,nan,0.3151,0.0308,0.0308,0.0308,16926.8906,2.351,0.7864,0.7863,0.6182,34.5733,1.0,1.0,1.0,-1183.824,88.106,0.0308,nan
1261.5676,5150.2651,5150265.0,nan,9.2342,9.2342,139.017,0.0,nan,36.1418,0.8051,0.8216,1.1657,1261.5676,0.5766,-571.1984,nan,nan,0.3142,0.0308,0.0308,0.0308,16897.1953,2.349,0.8052,0.8051,0.649,34.4882,1.0,1.0,1.0,-1183.8676,88.106,0.0308,nan
1261.6764,5171.6299,5172976.0,nan,9.1828,9.1828,138.1482,0.0,nan,35.9205,0.852,0.8807,1.2077,1261.6764,0.5921,-571.2509,nan,nan,0.3117,0.0308,0.0308,0.0308,16971.7051,2.344,0.8522,0.852,0.7258,34.2757,1.0,1.0,1.0,-1183.9764,88.106,0.0308,nan
1261.72,5182.0767,5182077.0,nan,9.1592,9.1592,137.8,0.0,nan,36.1667,0.8748,0.9054,1.2325,1261.72,0.5968,-571.272,nan,nan,0.3109,0.0308,0.0308,0.0308,17001.5645,2.3428,0.8751,0.8748,0.7667,34.2052,1.0,1.0,1.0,-1184.02,88.106,0.0308,nan
1261.8288,5260.7651,5267422.0,nan,9.1003,9.1003,135.5676,0.0,nan,36.7812,0.932,0.9671,1.2944,1261.8287,0.6083,-571.3245,nan,nan,0.3089,0.0308,0.0308,0.0308,17281.5684,2.3399,0.9322,0.932,0.8685,34.0291,1.0,1.0,1.0,-1184.1288,88.106,0.0308,nan
1261.8724,5301.623,5301623.0,nan,9.0938,9.0938,134.673,0.0,nan,37.0891,0.9574,0.9904,1.3191,1261.8723,0.6069,-571.3455,nan,nan,0.309,0.0308,0.0308,0.0308,17393.7754,2.3425,0.9577,0.9574,0.9183,33.9701,1.0,1.0,1.0,-1184.1724,88.106,0.0308,nan
1261.9812,5411.5576,5420751.0,nan,9.0774,9.0774,132.3043,0.0,nan,37.8573,1.0209,1.0484,1.3807,1261.9812,0.6034,-571.398,nan,nan,0.3094,0.0308,0.0308,0.0308,17784.6152,2.349,1.0212,1.0209,1.0423,33.823,1.0,1.0,1.0,-1184.2811,88.106,0.0308,nan
1262.0248,5468.4893,5468489.5,nan,9.0772,9.0772,131.355,0.0,nan,38.1362,1.0445,1.0677,1.3801,1262.0248,0.5982,-571.419,nan,nan,0.3103,0.0308,0.0308,0.0308,17941.2383,2.3567,1.0448,1.0445,1.0924,33.7799,1.0,1.0,1.0,-1184.3247,88.106,0.0308,nan
1262.1336,5531.6694,5536926.5,nan,9.0766,9.0766,130.9109,0.0,nan,38.8322,1.1034,1.116,1.3787,1262.1335,0.585,-571.4715,nan,nan,0.3126,0.0308,0.0308,0.0308,18165.7695,2.3758,1.1036,1.1034,1.2175,33.6725,1.0,1.0,1.0,-1184.4336,88.106,0.0308,nan
1262.1772,5564.3516,5564351.5,nan,9.074,9.074,130.733,0.0,nan,39.0242,1.1197,1.1287,1.3688,1262.1771,0.5804,-571.4926,nan,nan,0.3136,0.0308,0.0308,0.0308,18255.748,2.3866,1.1199,1.1197,1.2543,33.6401,1.0,1.0,1.0,-1184.4772,88.106,0.0308,nan
1262.286,5486.3955,5483629.5,nan,9.0674,9.0674,134.0862,0.0,nan,39.5031,1.1603,1.1604,1.344,1262.286,0.569,-571.545,nan,nan,0.3162,0.0308,0.0308,0.0308,17990.9102,2.4136,1.1604,1.1603,1.3462,33.5593,1.0,1.0,1.0,-1184.5859,88.106,0.0308,nan
1262.3296,5451.2808,5451281.0,nan,9.0709,9.0709,135.43,0.0,nan,39.6084,1.1666,1.1651,1.3528,1262.3296,0.5685,-571.5661,nan,nan,0.3166,0.0308,0.0308,0.0308,17884.7793,2.4221,1.1667,1.1666,1.3612,33.5402,1.0,1.0,1.0,-1184.6295,88.106,0.0308,nan
1262.4384,5224.6626,5216700.5,nan,9.0797,9.0797,142.5541,0.0,nan,39.8711,1.1826,1.1767,1.3747,1262.4384,0.5671,-571.6186,nan,nan,0.3177,0.0308,0.0308,0.0308,17115.1602,2.4436,1.1826,1.1826,1.3985,33.4926,1.0,1.0,1.0,-1184.7384,88.106,0.0308,nan
1262.482,5122.6958,5122696.0,nan,9.0942,9.0942,145.409,0.0,nan,39.848,1.1793,1.1741,1.37,1262.4819,0.5698,-571.6396,nan,nan,0.3174,0.0308,0.0308,0.0308,16806.7461,2.4439,1.1793,1.1793,1.3907,33.495,1.0,1.0,1.0,-1184.782,88.106,0.0308,nan
1262.5908,4811.8569,4804411.5,nan,9.1302,9.1302,154.8483,0.0,nan,39.7901,1.171,1.1676,1.3582,1262.5908,0.5766,-571.6921,nan,nan,0.3166,0.0308,0.0308,0.0308,15762.5049,2.4446,1.171,1.171,1.3713,33.5008,1.0,1.0,1.0,-1184.8907,88.106,0.0308,nan
1262.6344,4676.8638,4676864.0,nan,9.1564,9.1564,158.631,0.0,nan,39.9793,1.1611,1.1583,1.3487,1262.6344,0.578,-571.7131,nan,nan,0.3159,0.0308,0.0308,0.0308,15344.041,2.434,1.161,1.1611,1.3485,33.5157,1.0,1.0,1.0,-1184.9343,88.106,0.0308,nan
1262.7432,4397.6396,4392715.0,nan,9.2215,9.2215,166.8802,0.0,nan,40.4513,1.1365,1.1352,1.325,1262.7432,0.5814,-571.7656,nan,nan,0.3142,0.0308,0.0308,0.0308,14411.7949,2.4077,1.1363,1.1365,1.2915,33.5528,1.0,1.0,1.0,-1185.0432,88.106,0.0308,nan
1262.7868,4278.8467,4278846.5,nan,9.26,9.26,170.186,0.0,nan,40.6828,1.1242,1.1205,1.3111,1262.7867,0.5806,-571.7867,nan,nan,0.3125,0.0331,0.0331,0.0331,14038.2109,2.3891,1.1241,1.1242,1.2642,33.5637,1.0,1.0,1.0,-1185.0868,87.2397,0.0331,nan
1262.8956,4069.8989,4069968.5,nan,9.3559,9.3559,175.4411,0.0,nan,41.2605,1.0936,1.084,1.2763,1262.8956,0.5784,-571.8392,nan,nan,0.3082,0.0387,0.0387,0.0387,13352.915,2.3426,1.0935,1.0936,1.1959,33.5907,1.0,1.0,1.0,-1185.1956,85.078,0.0387,nan
1262.9392,3986.2639,3986263.75,nan,9.4035,9.4035,177.547,0.0,nan,41.5322,1.082,1.0676,1.2616,1262.9392,0.5786,-571.8602,nan,nan,0.3052,0.0437,0.0437,0.0437,13078.293,2.322,1.0819,1.082,1.1711,33.5988,1.0,1.0,1.0,-1185.2391,83.1541,0.0437,nan
1263.048,3884.1523,3888529.5,nan,9.5222,9.5222,178.181,0.0,nan,42.2103,1.0532,1.0266,1.225,1263.048,0.5791,-571.9127,nan,nan,0.2975,0.0561,0.0561,0.0561,12757.6436,2.2706,1.0531,1.0532,1.1091,33.619,1.0,1.0,1.0,-1185.348,78.353,0.0561,nan
1263.0916,3849.364,3849364.0,nan,9.5801,9.5801,178.435,0.0,nan,42.7255,1.0438,1.012,1.2133,1263.0916,0.5827,-571.9337,nan,nan,0.2967,0.0564,0.0564,0.0564,12629.1475,2.2535,1.0437,1.0438,1.0898,33.6286,1.0,1.0,1.0,-1185.3916,78.2326,0.0564,nan
1263.2004,3819.8486,3827767.0,nan,9.7248,9.7248,176.4032,0.0,nan,44.0112,1.0206,0.9757,1.1839,1263.2004,0.5914,-571.9863,nan,nan,0.2949,0.0572,0.0572,0.0572,12558.29,2.2107,1.0205,1.0206,1.0416,33.6527,1.0,1.0,1.0,-1185.5004,77.932,0.0572,nan
1263.244,3819.1121,3819112.25,nan,9.7847,9.7847,175.589,0.0,nan,44.4193,1.014,0.9655,1.1746,1263.244,0.597,-572.0073,nan,nan,0.2953,0.0548,0.0548,0.0548,12529.8955,2.2001,1.014,1.014,1.0284,33.6695,1.0,1.0,1.0,-1185.5439,78.8501,0.0548,nan
1263.3528,3841.675,3851185.75,nan,9.9345,9.9345,172.4535,0.0,nan,45.4377,0.9977,0.9399,1.1516,1263.3528,0.611,-572.0598,nan,nan,0.2963,0.0489,0.0489,0.0489,12635.123,2.1736,0.9977,0.9977,0.9954,33.7115,1.0,1.0,1.0,-1185.6528,81.141,0.0489,nan
1263.3964,3864.0388,3864038.75,nan,9.9484,9.9484,171.197,0.0,nan,45.6249,0.9936,0.9345,1.1397,1263.3964,0.6137,-572.0808,nan,nan,0.2966,0.0476,0.0476,0.0476,12677.292,2.1703,0.9936,0.9936,0.9873,33.7147,1.0,1.0,1.0,-1185.6964,81.6362,0.0476,nan
1263.5052,3922.2703,3930293.75,nan,9.9833,9.9833,168.0201,0.0,nan,46.0921,0.9834,0.921,1.1102,1263.5051,0.6206,-572.1333,nan,nan,0.2971,0.0444,0.0444,0.0444,12894.665,2.1621,0.9834,0.9834,0.9671,33.7224,1.0,1.0,1.0,-1185.8052,82.872,0.0444,nan
1263.5488,3956.8445,3956844.5,nan,9.9543,9.9543,166.747,0.0,nan,46.2038,0.981,0.9207,1.1091,1263.5487,0.6161,-572.1544,nan,nan,0.2968,0.0463,0.0463,0.0463,12981.7734,2.1647,0.981,0.981,0.9624,33.7217,1.0,1.0,1.0,-1185.8488,82.1591,0.0463,nan
1263.6576,4032.5854,4036955.25,nan,9.8819,9.8819,164.0927,0.0,nan,46.4825,0.975,0.9199,1.1063,1263.6576,0.6049,-572.2068,nan,nan,0.296,0.0509,0.0509,0.0509,13244.6035,2.171,0.975,0.975,0.9506,33.7197,1.0,1.0,1.0,-1185.9576,80.38,0.0509,nan
1263.7012,4069.0583,4069058.5,nan,9.8361,9.8361,163.029,0.0,nan,46.5968,0.9738,0.9249,1.1122,1263.7012,0.5956,-572.2278,nan,nan,0.2953,0.0548,0.0548,0.0548,13349.9287,2.1764,0.9738,0.9738,0.9483,33.728,1.0,1.0,1.0,-1186.0012,78.8577,0.0548,nan
1263.81,4148.0767,4147051.0,nan,9.7217,9.7217,160.9201,0.0,nan,46.8818,0.9709,0.9374,1.1271,1263.8099,0.5723,-572.2803,nan,nan,0.2936,0.0647,0.0647,0.0647,13605.8105,2.19,0.9708,0.9709,0.9426,33.7485,1.0,1.0,1.0,-1186.11,75.059,0.0647,nan
1263.8536,4178.3057,4178305.5,nan,9.6597,9.6597,160.075,0.0,nan,46.8919,0.97,0.9458,1.1383,1263.8535,0.5647,-572.3014,nan,nan,0.293,0.068,0.068,0.068,13708.3516,2.1944,0.97,0.97,0.9409,33.7635,1.0,1.0,1.0,-1186.1536,73.7793,0.068,nan
1263.9624,4252.0361,4247265.0,nan,9.5053,9.5053,158.0818,0.0,nan,46.9172,0.9679,0.9668,1.1661,1263.9624,0.5456,-572.3539,nan,nan,0.2915,0.0763,0.0763,0.0763,13934.5967,2.2053,0.9679,0.9679,0.9368,33.8007,1.0,1.0,1.0,-1186.2623,70.586,0.0763,nan
1264.006,4274.8994,4274899.5,nan,9.4346,9.4346,157.283,0.0,nan,46.6964,0.9678,0.9748,1.1802,1264.006,0.5437,-572.3749,nan,nan,0.2913,0.0773,0.0773,0.0773,14025.2617,2.2059,0.9678,0.9678,0.9367,33.8105,1.0,1.0,1.0,-1186.3059,70.1981,0.0773,nan
1264.1148,4308.8721,4304400.5,nan,9.2581,9.2581,156.1586,0.0,nan,46.1452,0.9677,0.9946,1.2154,1264.1147,0.539,-572.4274,nan,nan,0.2909,0.0798,0.0798,0.0798,14122.0479,2.2076,0.9677,0.9677,0.9365,33.8348,1.0,1.0,1.0,-1186.4148,69.23,0.0798,nan
1264.1584,4316.2222,4316222.5,nan,9.2277,9.2277,155.708,0.0,nan,45.6229,0.969,0.9975,1.2175,1264.1583,0.5423,-572.4485,nan,nan,0.2911,0.0787,0.0787,0.0787,14160.834,2.205,0.969,0.969,0.939,33.8506,1.0,1.0,1.0,-1186.4584,69.6531,0.0787,nan
1264.2672,4302.8374,4302554.5,nan,9.1517,9.1517,155.7301,0.0,nan,44.3194,0.9723,1.0049,1.2229,1264.2672,0.5504,-572.501,nan,nan,0.2916,0.0759,0.0759,0.0759,14115.9922,2.1984,0.9723,0.9723,0.9453,33.8898,1.0,1.0,1.0,-1186.5671,70.709,0.0759,nan
1264.3108,4297.0771,4297077.5,nan,9.1656,9.1656,155.739,0.0,nan,43.6173,0.9756,1.0025,1.2161,1264.3108,0.5558,-572.522,nan,nan,0.2919,0.0739,0.0739,0.0739,14098.0225,2.1956,0.9757,0.9756,0.9519,33.9069,1.0,1.0,1.0,-1186.6107,71.4786,0.0739,nan
1264.4196,4282.8633,4286053.5,nan,9.2001,9.2001,155.7554,0.0,nan,41.8652,0.984,0.9967,1.1993,1264.4196,0.5693,-572.5745,nan,nan,0.2928,0.069,0.069,0.069,14061.8545,2.1886,0.984,0.984,0.9682,33.9497,1.0,1.0,1.0,-1186.7196,73.399,0.069,nan
1264.4632,4281.6353,4281635.5,nan,9.2117,9.2117,155.762,0.0,nan,41.5304,0.9878,0.9932,1.1943,1264.4631,0.5758,-572.5955,nan,nan,0.2933,0.0662,0.0662,0.0662,14047.3604,2.188,0.9878,0.9878,0.9758,33.9662,1.0,1.0,1.0,-1186.7632,74.4653,0.0662,nan
1264.572,4278.9248,4282070.0,nan,9.2407,9.2407,155.7656,0.0,nan,40.6952,0.9973,0.9844,1.1817,1264.572,0.5921,-572.648,nan,nan,0.2945,0.0593,0.0593,0.0593,14048.7861,2.1867,0.9973,0.9973,0.9946,34.0074,1.0,1.0,1.0,-1186.8719,77.126,0.0593,nan
