DEPTH,ACOUSTICIMPEDANCE1,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,NPHI,PERF_INT,PIGN,PIGN_MODELLING,RHOB,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,ZLT
1128.722,4257.7837,nan,8.9534,8.9534,1.3377,151.18,nan,nan,62.9374,1.0999,1.1094,0.6308,nan,0.0226,0.0226,2.1119,272.414,1.0,1.0,-1050.1021,82.662,nan
1128.8744,4275.3447,nan,8.9526,8.9526,1.3013,151.3761,nan,nan,62.6285,1.0944,1.102,0.644,nan,0.0205,0.0205,2.1233,272.5927,1.0,1.0,-1050.2544,83.986,nan
1129.0268,4311.1704,nan,8.9266,8.9266,1.29,151.378,nan,nan,62.4321,1.0941,1.1033,0.6688,nan,0.0146,0.0146,2.1411,272.7086,1.0,1.0,-1050.4069,87.325,nan
1129.1792,4345.2612,nan,8.9824,8.9824,1.2942,150.9858,nan,nan,63.1863,1.097,1.1101,0.7022,nan,0.0068,0.0068,2.1525,272.7286,1.0,1.0,-1050.5592,91.699,nan
1129.3316,4364.064,nan,9.1475,9.1475,1.313,150.2319,nan,nan,64.3452,1.0988,1.1132,0.7285,nan,0.0023,0.0023,2.151,272.6765,1.0,1.0,-1050.7115,94.52,nan
1129.484,4376.5811,nan,9.2719,9.2719,1.3181,149.4025,nan,nan,65.5427,1.1025,1.1201,0.7282,nan,0.0039,0.0039,2.1453,272.6209,1.0,1.0,-1050.864,93.833,nan
1129.6364,4373.0537,nan,9.2951,9.2951,1.3228,148.826,nan,nan,67.4926,1.1171,1.1366,0.7035,nan,0.0106,0.0106,2.1353,272.5324,1.0,1.0,-1051.0164,90.102,nan
1129.7888,4345.0488,nan,9.2713,9.2713,1.3423,148.5962,nan,nan,68.6916,1.1353,1.1512,0.6734,nan,0.0178,0.0178,2.1183,272.4636,1.0,1.0,-1051.1688,85.879,nan
1129.9412,4338.5957,nan,9.2561,9.2561,1.3685,148.6824,nan,nan,68.7041,1.1465,1.1617,0.6489,nan,0.0224,0.0224,2.1164,272.554,1.0,1.0,-1051.3212,82.843,nan
1130.0936,4354.9858,nan,9.245,9.245,1.4032,149.1047,nan,nan,69.0945,1.1584,1.1761,0.6316,nan,0.0249,0.0249,2.1304,272.7311,1.0,1.0,-1051.4736,80.92,nan
1130.246,4363.3325,nan,9.2425,9.2425,1.4052,149.6068,nan,nan,69.8053,1.1705,1.1849,0.6253,nan,0.0257,0.0257,2.1417,272.9281,1.0,1.0,-1051.626,80.184,nan
1130.3984,4381.2686,nan,9.2418,9.2418,1.4097,149.8792,nan,nan,70.0556,1.1679,1.1794,0.6265,nan,0.0241,0.0241,2.1544,273.0586,1.0,1.0,-1051.7784,80.672,nan
1130.5508,4417.2759,nan,9.2255,9.2255,1.3913,149.7898,nan,nan,69.4013,1.1609,1.1722,0.6294,nan,0.0219,0.0219,2.1708,273.0673,1.0,1.0,-1051.9308,81.394,nan
1130.7032,4436.7549,nan,9.1697,9.1697,1.3783,149.2964,nan,nan,67.5532,1.1664,1.1739,0.6297,nan,0.0219,0.0219,2.1732,272.963,1.0,1.0,-1052.0833,81.209,nan
1130.8556,4428.8931,nan,9.1279,9.1279,1.3712,148.4988,nan,nan,65.6266,1.1777,1.1861,0.6318,nan,0.0244,0.0244,2.1578,272.8357,1.0,1.0,-1052.2356,80.165,nan
1131.008,4422.752,nan,9.1462,9.1462,1.3721,147.5086,nan,nan,64.8002,1.1844,1.1971,0.6285,nan,0.0273,0.0273,2.1404,272.7159,1.0,1.0,-1052.3881,78.777,nan
1131.1604,4435.0527,nan,9.1887,9.1887,1.3767,146.4486,nan,nan,64.1795,1.1896,1.2026,0.6168,nan,0.0298,0.0298,2.1309,272.5286,1.0,1.0,-1052.5404,77.169,nan
1131.3128,4457.7388,nan,9.1915,9.1915,1.3705,145.5064,nan,nan,62.6574,1.2039,1.2196,0.6013,nan,0.0317,0.0317,2.1281,272.4253,1.0,1.0,-1052.6927,75.705,nan
1131.4652,4500.1221,nan,9.1894,9.1894,1.4099,145.0307,nan,nan,60.4332,1.2272,1.2468,0.5912,nan,0.0333,0.0333,2.1413,272.5391,1.0,1.0,-1052.8452,74.392,nan
1131.6176,4550.8096,nan,9.2025,9.2025,1.4365,145.213,nan,nan,57.5447,1.2351,1.2507,0.5938,nan,0.0337,0.0337,2.1681,272.7981,1.0,1.0,-1052.9976,73.574,nan
1131.77,4558.3281,nan,9.2017,9.2017,1.4605,145.5907,nan,nan,54.7665,1.2185,1.2235,0.6041,nan,0.032,0.032,2.1773,273.0069,1.0,1.0,-1053.15,74.346,nan
1131.9224,4516.1587,nan,9.1877,9.1877,1.4565,146.0397,nan,nan,54.5742,1.2093,1.21,0.6172,nan,0.0304,0.0304,2.1638,273.1209,1.0,1.0,-1053.3024,75.867,nan
1132.0748,4468.7026,nan,9.1658,9.1658,1.4468,146.5756,nan,nan,56.8684,1.2178,1.2237,0.6233,nan,0.03,0.03,2.149,273.1508,1.0,1.0,-1053.4548,76.82,nan
1132.2272,4438.8027,nan,9.1473,9.1473,1.4389,146.8763,nan,nan,59.0382,1.2186,1.2271,0.6258,nan,0.0294,0.0294,2.139,273.151,1.0,1.0,-1053.6072,77.48,nan
1132.3796,4434.0132,nan,9.1576,9.1576,1.4127,146.7772,nan,nan,60.341,1.2115,1.2194,0.6288,nan,0.0288,0.0288,2.1352,273.2986,1.0,1.0,-1053.7596,77.941,nan
1132.532,4459.167,nan,9.1868,9.1868,1.4109,146.4045,nan,nan,61.2299,1.2088,1.2199,0.6319,nan,0.0287,0.0287,2.1419,273.5855,1.0,1.0,-1053.912,77.945,nan
1132.6844,4491.811,nan,9.1875,9.1875,1.3945,145.9858,nan,nan,61.503,1.2066,1.2194,0.6292,nan,0.0294,0.0294,2.1514,273.8033,1.0,1.0,-1054.0645,77.287,nan
1132.8368,4512.606,nan,9.1579,9.1579,1.4033,145.8352,nan,nan,62.068,1.202,1.2141,0.6153,nan,0.0307,0.0307,2.1591,273.8697,1.0,1.0,-1054.2168,76.143,nan
1132.9892,4517.0762,nan,9.1764,9.1764,1.4091,146.035,nan,nan,63.8434,1.2009,1.2118,0.5976,nan,0.031,0.031,2.1642,273.7903,1.0,1.0,-1054.3693,75.78,nan
1133.1416,4512.145,nan,9.2552,9.2552,1.4215,146.4297,nan,nan,65.9831,1.2031,1.2122,0.5874,nan,0.0298,0.0298,2.1677,273.5767,1.0,1.0,-1054.5216,76.545,nan
1133.294,4504.0073,nan,9.2929,9.2929,1.4189,146.7369,nan,nan,67.1037,1.2058,1.2112,0.5902,nan,0.0293,0.0293,2.1683,273.3232,1.0,1.0,-1054.674,76.853,nan
1133.4464,4493.7217,nan,9.2434,9.2434,1.4157,146.7119,nan,nan,67.1902,1.2039,1.2096,0.6004,nan,0.0307,0.0307,2.163,273.1309,1.0,1.0,-1054.8264,76.119,nan
1133.5988,4494.3779,nan,9.1908,9.1908,1.4106,146.2612,nan,nan,66.9125,1.1957,1.2081,0.6039,nan,0.0318,0.0318,2.1567,272.9878,1.0,1.0,-1054.9788,75.587,nan
1133.7512,4492.6011,nan,9.1663,9.1663,1.4247,145.6602,nan,nan,66.3829,1.1941,1.2091,0.5997,nan,0.0316,0.0316,2.147,272.9177,1.0,1.0,-1055.1312,75.754,nan
1133.9036,4475.5449,nan,9.2116,9.2116,1.418,145.3539,nan,nan,66.5841,1.1927,1.2097,0.5968,nan,0.0309,0.0309,2.1343,273.1946,1.0,1.0,-1055.2836,76.279,nan
1134.056,4445.5571,nan,9.2846,9.2846,1.3987,145.6007,nan,nan,68.2983,1.1732,1.1901,0.6028,nan,0.0294,0.0294,2.1236,273.8346,1.0,1.0,-1055.436,77.431,nan
1134.2084,4413.25,nan,9.3144,9.3144,1.3759,146.4387,nan,nan,69.7333,1.1461,1.1572,0.6266,nan,0.0262,0.0262,2.1203,274.5559,1.0,1.0,-1055.5884,79.843,nan
1134.3608,4409.686,nan,9.3175,9.3175,1.3528,147.4031,nan,nan,69.5427,1.1333,1.1427,0.6662,nan,0.0195,0.0195,2.1326,275.0766,1.0,1.0,-1055.7408,84.2,nan
1134.5132,4435.6587,nan,9.3359,9.3359,1.3446,147.8284,nan,nan,68.814,1.1332,1.1395,0.7013,nan,0.0113,0.0113,2.1513,275.1747,1.0,1.0,-1055.8932,88.963,nan
1134.6656,4453.2437,nan,9.3449,9.3449,1.3662,147.6615,nan,nan,68.4016,1.1338,1.1379,0.7128,nan,0.008,0.008,2.1574,274.932,1.0,1.0,-1056.0457,90.696,nan
1134.818,4447.3374,nan,9.2785,9.2785,1.3758,147.1715,nan,nan,68.4676,1.1339,1.1406,0.6982,nan,0.0122,0.0122,2.1474,274.5894,1.0,1.0,-1056.198,88.511,nan
1134.9704,4424.4717,nan,9.1372,9.1372,1.3555,146.7279,nan,nan,69.0016,1.1247,1.1322,0.6773,nan,0.0185,0.0185,2.1299,274.5124,1.0,1.0,-1056.3505,85.205,nan
1135.1228,4389.7354,nan,8.9892,8.9892,1.3277,146.5649,nan,nan,69.5195,1.108,1.1202,0.6597,nan,0.0219,0.0219,2.1108,274.675,1.0,1.0,-1056.5028,83.201,nan
